"codigo","nombre "
8,"ALBANIA"
20,"ANDORRA"
32,"ARGENTINA"
36,"AUSTRALIA"
56,"BÉLGICA"
68,"BOLIVIA"
76,"BRASIL"
112,"BELARUSIA"
124,"CANADÁ"
152,"CHILE"
170,"COLOMBIA"
188,"COSTA RICA"
191,"CROACIA"
192,"CUBA"
212,"DOMINICA"
214,"REPÚBLICA DOMINICANA"
218,"ECUADOR"
222,"EL SALVADOR"
250,"FRANCIA"
276,"ALEMANIA"
300,"GRECIA"
320,"GUATEMALA"
340,"HONDURAS"
372,"IRLANDA"
376,"ISRAEL"
380,"ITALIA"
388,"JAMAICA"
404,"KENYA"
484,"MÉXICO"
504,"MARRUECOS"
530,"ANTILLAS NEERLANDESAS"
531,"CURAZAO"
533,"ARUBA"
558,"NICARAGUA"
591,"PANAMÁ"
604,"PERÚ"
620,"PORTUGAL"
630,"PUERTO RICO"
643,"FEDERACIÓN DE RUSIA"
682,"ARABIA SAUDITA"
724,"ESPAÑA"
752,"SUECIA"
756,"SUIZA"
760,"REPÚBLICA ÁRABE SIRIA"
784,"EMIRATOS ARABES UNIDOS"
792,"TURQUÍA"
818,"EGIPTO"
826,"REINO UNIDO"
840,"ESTADOS UNIDOS DE AMÉRICA"
850,"ISLAS VÍRGENES DE LOS ESTADOS UNIDOS"
858,"URUGUAY"
862,"VENEZUELA"
